,Код,Наименование,Рекомендованная цена
2894,RTL15A-1CUTKZ32,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для «1С: УТ для Казахстана 3.2» 3.2.2.22 и выше до 3.2.x.x",8650
2895,RTL15A-1CUTPKZ20,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для «1С: УТП для Казахстана 2.0» 2.0.3.10 и выше до 2.0.x.x",8650
2896,RTL15A-1CERP2,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для «1С:ERP Управление предприятием 2», для работы с товаром по штрихкодам",8650
2897,RTL15A-1CKA2,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для «1С:Комплексная автоматизация 2», для работы с товаром по штрихкодам",8650
2898,RTL15A-1CRZ3,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для «1С:Розница 3», для работы с товаром по штрихкодам",8650
2899,RTL15A-1CUNF16,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для «1С:УНФ 1.6» 1.6.7.48 и выше до 1.6.x.x",8650
2900,RTL15A-1CUPP13,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для «1С:УПП 1.3» 1.3.92.1 и выше до 1.3.x.x",8650
2901,RTL15A-1CUT103,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для «1С:УТ 10.3» 10.3.32.1 и выше до 10.3.x.x",8650
2902,RTL15A-OLE,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для OLE/COM",10650
2903,RTL15A-REST,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для интеграции через REST API",10650
2904,RTL15A-TXT,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для интеграции через TXT, CSV, Excel",8650
2905,RTL15A-1C77,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ для конфигурации на базе «1С:Предприятия 7.7»",10650
2906,RTL15AEM-OLE,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС + Мобильный кассир для OLE/COM",18312
2907,RTL15AEM-REST,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС + Мобильный кассир для интеграции через REST API",18312
2908,RTL15AE-1CKA11,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для «1С: КА 1.1» 1.1.85.1 и выше до 1.1.x.x",13000
2909,RTL15AE-1CRZ22,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для «1С: Розница» 2.2.2.9 и выше до 2.2.x.x",11000
2910,RTL15AE-1CRZ23,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для «1С: Розница» 2.3.1.30 и выше до 2.3.x.x",11000
2911,RTL15AE-1CUNF16,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для «1С:УНФ 1.6» 1.6.7.48 и выше до 1.6.x.x",11000
2912,RTL15AE-1CUPP13,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для «1С:УПП 1.3» 1.3.92.1 и выше до 1.3.x.x",13000
2913,RTL15AE-1CUT103,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для «1С:УТ 10.3» 10.3.32.1 и выше до 10.3.x.x",11000
2914,RTL15AE-OLE,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для OLE/COM",13000
2915,RTL15AE-REST,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для интеграции через REST API",13000
2916,RTL15AE-TXT,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для интеграции через TXT, CSV, Excel",11000
2917,RTL15AE-1C77,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с ЕГАИС для конфигурации на базе «1С:Предприятия 7.7»",13000
2918,RTL15AK-1CRZ23,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с Кировкой для «1С: Розница» 2.3.3.30 и выше до 2.3.x.x",12150
2919,RTL15AK-1CUNF16,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с Кировкой для «1С:УНФ 1.6» 1.6.19.215 и выше до 1.6.x.x",12150
2920,RTL15AK-1CUPP13,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с Кировкой для «1С:УПП 1.3» 1.3.134.1 и выше до 1.3.x.x",12150
2921,RTL15AK-OLE,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с Кировкой для OLE/COM",14150
2922,RTL15AK-REST,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с Кировкой для интеграции через REST API",14150
2923,RTL15AK-TXT,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с Кировкой для интеграции через TXT, CSV, Excel",12150
2924,RTL15AK-1C77,"Mobile SMARTS: Магазин 15, БАЗОВЫЙ с Кировкой для конфигурации на базе «1С:Предприятия 7.7»",14150
2925,RTL15C-1CKA11,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: КА 1.1»",21550
2926,RTL15C-1CRZ22,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Розница 2.2»",21550
2927,RTL15C-1CRZ23,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Розница 2.3»",21550
2928,RTL15C-1CRZKZ20,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Розница для Казахстана 2.0»",21550
2929,RTL15C-1CRZKZ22,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Розница для Казахстана 2.2»",21550
2930,RTL15C-1CRZKZ23,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Розница для Казахстана 2.3»",21550
2931,RTL15C-1CUNF16,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: УНФ 1.6»",21550
2932,RTL15C-1CUPP13,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: УПП 1.3» (Обычные формы)",21550
2933,RTL15C-1CUT103,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Управление торговлей 10.3»",21550
2934,RTL15C-1CUTBEL33,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Управление торговлей для Беларуси 3.3»",21550
2935,RTL15C-1CUTKZ22,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Управление торговлей для Казахстана 2.2»",21550
2936,RTL15C-1CUTKZ32,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Управление торговлей для Казахстана 3.2»",21550
2937,RTL15C-1CUTKZ34,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Управление торговлей для Казахстана 3.4»",21550
2938,RTL15C-1CUTPKZ20,"Mobile SMARTS: Магазин 15, МЕГ. для «1С: Управление торговым предприятием для Казахстана 2.0»",21550
2939,RTL15C-MSSQL,"Mobile SMARTS: Магазин 15, МЕГ. для баз данных на Microsoft SQL Server",23550
2940,RTL15C-OLE,"Mobile SMARTS: Магазин 15, МЕГ. для интегр. через OLE/COM",23550
2941,RTL15C-TXT,"Mobile SMARTS: Магазин 15, МЕГ. для интегр. через TXT, CSV, Excel",21550
2942,RTL15C-1C77,"Mobile SMARTS: Магазин 15, МЕГ. для конф. на базе «1С:Предприятия 7.7»",23550
2943,RTL15C-1CUNF3,"Mobile SMARTS: Магазин 15, МЕГАМАРКЕТ для «1С: Управление нашей фирмой 3», для работы с товаром по штрихкодам",21550
2944,RTL15C-1CUT11,"Mobile SMARTS: Магазин 15, МЕГАМАРКЕТ для «1С: Управление торговлей 11», для работы с товаром по штрихкодам",21550
2945,RTL15C-1CERP2,"Mobile SMARTS: Магазин 15, МЕГАМАРКЕТ для «1С:ERP Управление предприятием 2», для работы с товаром по штрихкодам",21550
2946,RTL15C-1CKA2,"Mobile SMARTS: Магазин 15, МЕГАМАРКЕТ для «1С:Комплексная автоматизация 2», для работы с товаром по штрихкодам",21550
2947,RTL15C-1CRZ3,"Mobile SMARTS: Магазин 15, МЕГАМАРКЕТ для «1С:Розница 3», для работы с товаром по штрихкодам",21550
2948,RTL15M-1CRZKZ23,"Mobile SMARTS: Магазин 15, МИН. для «1С: Розница для Казахстана 2.3»",3450
2949,RTL15M-1CUTKZ34,"Mobile SMARTS: Магазин 15, МИН. для «1С: Управление торговлей для Казахстана 3.4»",3450
2950,RTL15M-MSSQL,"Mobile SMARTS: Магазин 15, МИН. для баз данных на Microsoft SQL Server",5450
2951,RTL15CM-1CRZ22,"Mobile SMARTS: Магазин 15, ПОЛНЫЙ + МОБИЛЬНЫЙ КАССИР для «1С: Розница 2.2»",26753
2952,RTL15B-1CRZKZ23,"Mobile SMARTS: Магазин 15, РАС. для «1С: Розница для Казахстана 2.3»",15050
2953,RTL15B-1CUTKZ34,"Mobile SMARTS: Магазин 15, РАС. для «1С: Управление торговлей для Казахстана 3.4»",15050
2954,RTL15B-MSSQL,"Mobile SMARTS: Магазин 15, РАС. для баз данных на Microsoft SQL Server",17050
2955,RTL15BM-1CRZ22,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ + МОБИЛЬНЫЙ КАССИР для «1С: Розница 2.2»",19433
2956,RTL15BM-OLE,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ + Мобильный кассир для OLE/COM",21432
2957,RTL15BM-REST,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ + Мобильный кассир для интеграции через REST API",21432
2958,RTL15BM-TXT,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ + Мобильный кассир для интеграции через TXT, CSV, Excel",19432
2959,RTL15B-1CKA11,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: КА 1.1» 1.1.85.1 и выше до 1.1.x.x",15050
2960,RTL15B-1CRZKZ20,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: Розница для Казахстана 2.0» 2.0.3.2 и выше до 2.0.x.x",15050
2961,RTL15B-1CRZKZ22,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: Розница для Казахстана 2.2» 2.2.1.15 и выше до 2.2.x.x",15050
2962,RTL15B-1CRZ22,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: Розница» 2.2.2.9 и выше до 2.2.x.x",15050
2963,RTL15B-1CRZ23,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: Розница» 2.3.1.30 и выше до 2.3.x.x",15050
2964,RTL15B-1CUNF3,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: Управление нашей фирмой 3», для работы с товаром по штрихкодам",15050
2965,RTL15B-1CUT11,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: Управление торговлей 11», для работы с товаром по штрихкодам",15050
2966,RTL15B-1CUTBEL33,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: УТ для Беларуси 3.3» 3.3.4.101 и выше до 3.3.x.x",15050
2967,RTL15B-1CUTKZ22,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: УТ для Казахстана 2.2» 2.2.17.4 и выше до 2.2.x.x",15050
2968,RTL15B-1CUTKZ32,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: УТ для Казахстана 3.2» 3.2.2.22 и выше до 3.2.x.x",15050
2969,RTL15B-1CUTPKZ20,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С: УТП для Казахстана 2.0» 2.0.3.10 и выше до 2.0.x.x",15050
2970,RTL15B-1CERP2,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С:ERP Управление предприятием 2», для работы с товаром по штрихкодам",15050
2971,RTL15B-1CKA2,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С:Комплексная автоматизация 2», для работы с товаром по штрихкодам",15050
2972,RTL15B-1CRZ3,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С:Розница 3», для работы с товаром по штрихкодам",15050
2973,RTL15B-1CUNF16,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С:УНФ 1.6» 1.6.7.48 и выше до 1.6.x.x",15050
2974,RTL15B-1CUPP13,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С:УПП 1.3» 1.3.92.1 и выше до 1.3.x.x",15050
2975,RTL15B-1CUT103,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для «1С:УТ 10.3» 10.3.32.1 и выше до 10.3.x.x",15050
2976,RTL15B-OLE,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для OLE/COM",17050
2977,RTL15B-REST,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для интеграции через REST API",17050
2978,RTL15B-TXT,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для интеграции через TXT, CSV, Excel",15050
2979,RTL15B-1C77,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ для конфигурации на базе «1С:Предприятия 7.7»",17050
2980,RTL15BEM-OLE,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС + Мобильный кассир для OLE/COM",23232
2981,RTL15BEM-REST,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС + Мобильный кассир для интеграции через REST API",23232
2982,RTL15BE-1CKA11,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для «1С: КА 1.1» 1.1.85.1 и выше до 1.1.x.x",19450
2983,RTL15BE-1CRZ22,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для «1С: Розница» 2.2.2.9 и выше до 2.2.x.x",17450
2984,RTL15BE-1CRZ23,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для «1С: Розница» 2.3.1.30 и выше до 2.3.x.x",17450
2985,RTL15BE-1CUNF16,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для «1С:УНФ 1.6» 1.6.7.48 и выше до 1.6.x.x",17450
2986,RTL15BE-1CUPP13,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для «1С:УПП 1.3» 1.3.92.1 и выше до 1.3.x.x",19450
2987,RTL15BE-1CUT103,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для «1С:УТ 10.3» 10.3.32.1 и выше до 10.3.x.x",17450
2988,RTL15BE-OLE,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для OLE/COM",19450
2989,RTL15BE-REST,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для интеграции через REST API",19450
2990,RTL15BE-TXT,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для интеграции через TXT, CSV, Excel",17450
2991,RTL15BE-1C77,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с ЕГАИС для конфигурации на базе «1С:Предприятия 7.7»",19450
2992,RTL15BK-1CRZ23,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с Кировкой для «1С: Розница» 2.3.3.30 и выше до 2.3.x.x",18550
2993,RTL15BK-1CUNF16,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с Кировкой для «1С:УНФ 1.6» 1.6.19.215 и выше до 1.6.x.x",18550
2994,RTL15BK-1CUPP13,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с Кировкой для «1С:УПП 1.3» 1.3.134.1 и выше до 1.3.x.x",18550
2995,RTL15BK-OLE,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с Кировкой для OLE/COM",20550
2996,RTL15BK-REST,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с Кировкой для интеграции через REST API",20550
2997,RTL15BK-TXT,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с Кировкой для интеграции через TXT, CSV, Excel",18550
2998,RTL15BK-1C77,"Mobile SMARTS: Магазин 15, РАСШИРЕННЫЙ с Кировкой для конфигурации на базе «1С:Предприятия 7.7»",20550
2999,UP2-RTL15A-1C8,"Переход на Mobile SMARTS Магазин 15, БАЗОВЫЙ для «1С:Предприятия 8»",9250
3000,UP2-RTL15A-1CANY,"Переход на Mobile SMARTS Магазин 15, БАЗОВЫЙ для любой поддерживаемой конфигурации 1С",8250
3001,UP2-RTL15C-1C8,"Переход на Mobile SMARTS Магазин 15, МЕГАМАРКЕТ для «1С:Предприятия 8»",17125
3002,UP2-RTL15C-1CANY,"Переход на Mobile SMARTS Магазин 15, МЕГАМАРКЕТ для любой поддерживаемой конфигурации 1С",16125
3003,UP2-RTL15M-1CANY,"Переход на Mobile SMARTS Магазин 15, МИНИМУМ для любой поддерживаемой конфигурации 1С",4950
3004,UP2-RTL15B-1C8,"Переход на Mobile SMARTS Магазин 15, РАСШИРЕННЫЙ для «1С:Предприятия 8»",13750
3005,UP2-RTL15B-1CANY,"Переход на Mobile SMARTS Магазин 15, РАСШИРЕННЫЙ для любой поддерживаемой конфигурации 1С",12750
3006,UP2-RTL15AK-1CUNF3,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, БАЗОВЫЙ для «1С: Управление нашей фирмой 3», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",6075
3007,UP2-RTL15AK-1CUT11,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, БАЗОВЫЙ для «1С: Управление торговлей 11», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",6075
3008,UP2-RTL15AK-1CERP2,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, БАЗОВЫЙ для «1С:ERP Управление предприятием 2», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",6075
3009,UP2-RTL15AK-1CKA2,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, БАЗОВЫЙ для «1С:Комплексная автоматизация 2», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",6075
3010,UP2-RTL15AK-1CRZ3,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, БАЗОВЫЙ для «1С:Розница 3», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",6075
3011,UP2-RTL15CK-1CUNF3,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, МЕГАМАРКЕТ для «1С: Управление нашей фирмой 3», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",13175
3012,UP2-RTL15CK-1CUT11,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, МЕГАМАРКЕТ для «1С: Управление торговлей 11», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",13175
3013,UP2-RTL15CK-1CERP2,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, МЕГАМАРКЕТ для «1С:ERP Управление предприятием 2», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",13175
3014,UP2-RTL15CK-1CKA2,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, МЕГАМАРКЕТ для «1С:Комплексная автоматизация 2», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",13175
3015,UP2-RTL15CK-1CRZ3,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, МЕГАМАРКЕТ для «1С:Розница 3», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",13175
3016,UP2-RTL15BK-1CUNF3,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, РАСШИРЕННЫЙ для «1С: Управление нашей фирмой 3», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",9275
3017,UP2-RTL15BK-1CUT11,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, РАСШИРЕННЫЙ для «1С: Управление торговлей 11», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",9275
3018,UP2-RTL15BK-1CERP2,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, РАСШИРЕННЫЙ для «1С:ERP Управление предприятием 2», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",9275
3019,UP2-RTL15BK-1CKA2,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, РАСШИРЕННЫЙ для «1С:Комплексная автоматизация 2», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",9275
3020,UP2-RTL15BK-1CRZ3,"Переход на Mobile SMARTS: Магазин 15 ВЕЩЕВОЙ, РАСШИРЕННЫЙ для «1С:Розница 3», для работы с маркированным товаром: ОБУВЬ, ОДЕЖДА, ПАРФЮМ, ШИНЫ, АНТИСЕПТИКИ и товары по штрихкодам",9275
3021,UP2-RTL15AG-1CRZ23,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для «1С: Розница 2.3.3»",7275
3022,UP2-RTL15AG-1CUNF16,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для «1С: УНФ 1.6.19»",7275
3023,UP2-RTL15AG-1CUPP13,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для «1С: УПП 1.3.134» (Обычные формы)",7275
3024,UP2-RTL15AG-1CUT103,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для «1С: Управление торговлей 10.3.59»",7275
3025,UP2-RTL15AG-MSSQL,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для баз данных на Microsoft SQL Server",8275
3026,UP2-RTL15AG-OLE,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для интегр. через OLE/COM",8275
3027,UP2-RTL15AG-REST,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для интегр. через REST API",8275
3028,UP2-RTL15AG-TXT,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для интегр. через TXT, CSV, Excel",7275
3029,UP2-RTL15AG-1C77,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗ. для конф. на базе «1С:Предприятия 7.7»",8275
3030,UP2-RTL15AG-1CUNF3,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗОВЫЙ для «1С: Управление нашей фирмой 3», для работы с маркированным товаром: АЛКОГОЛЬ, ПИВО, ТАБАК, МОЛОКО, ВОДА, ОДЕЖДА, ОБУВЬ, ДУХИ, ШИНЫ, АНТИСЕПТИКИ, БАД и товаром по штрихкодам",7275
3031,UP2-RTL15AG-1CUT11,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗОВЫЙ для «1С: Управление торговлей 11», для работы с маркированным товаром: АЛКОГОЛЬ, ПИВО, ТАБАК, МОЛОКО, ВОДА, ОДЕЖДА, ОБУВЬ, ДУХИ, ШИНЫ, АНТИСЕПТИКИ, БАД и товаром по штрихкодам",7275
3032,UP2-RTL15AG-1CERP2,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗОВЫЙ для «1С:ERP Управление предприятием 2», для работы с маркированным товаром: АЛКОГОЛЬ, ПИВО, ТАБАК, МОЛОКО, ВОДА, ОДЕЖДА, ОБУВЬ, ДУХИ, ШИНЫ, АНТИСЕПТИКИ, БАД и товаром по штрихкодам",7275
3033,UP2-RTL15AG-1CKA2,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗОВЫЙ для «1С:Комплексная автоматизация 2», для работы с маркированным товаром: АЛКОГОЛЬ, ПИВО, ТАБАК, МОЛОКО, ВОДА, ОДЕЖДА, ОБУВЬ, ДУХИ, ШИНЫ, АНТИСЕПТИКИ, БАД и товаром по штрихкодам",7275
3034,UP2-RTL15AG-1CRZ3,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, БАЗОВЫЙ для «1С:Розница 3», для работы с маркированным товаром: АЛКОГОЛЬ, ПИВО, ТАБАК, МОЛОКО, ВОДА, ОДЕЖДА, ОБУВЬ, ДУХИ, ШИНЫ, АНТИСЕПТИКИ, БАД и товаром по штрихкодам",7275
3035,UP2-RTL15CG-1CRZ23,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для «1С: Розница 2.3.3»",14125
3036,UP2-RTL15CG-1CUNF16,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для «1С: УНФ 1.6.19»",14125
3037,UP2-RTL15CG-1CUPP13,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для «1С: УПП 1.3.134» (Обычные формы)",14125
3038,UP2-RTL15CG-1CUT103,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для «1С: Управление торговлей 10.3.59»",14125
3039,UP2-RTL15CG-MSSQL,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для баз данных на Microsoft SQL Server",15125
3040,UP2-RTL15CG-OLE,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для интегр. через OLE/COM",15125
3041,UP2-RTL15CG-REST,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для интегр. через REST API",15125
3042,UP2-RTL15CG-TXT,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для интегр. через TXT, CSV, Excel",14125
3043,UP2-RTL15CG-1C77,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГ. для конф. на базе «1С:Предприятия 7.7»",15125
3044,UP2-RTL15CG-1CUNF3,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГАМАРКЕТ для «1С: Управление нашей фирмой 3», для работы с маркированным товаром: АЛКОГОЛЬ, ПИВО, ТАБАК, МОЛОКО, ВОДА, ОДЕЖДА, ОБУВЬ, ДУХИ, ШИНЫ, АНТИСЕПТИКИ, БАД и товаром по штрихкодам",14125
3045,UP2-RTL15CG-1CUT11,"Переход на Mobile SMARTS: Магазин 15 ПРОДУКТОВЫЙ, МЕГАМАРКЕТ для «1С: Управление торговлей 11», для работы с маркированным товаром: АЛКОГОЛЬ, ПИВО, ТАБАК, МОЛОКО, ВОДА, ОДЕЖДА, ОБУВЬ, ДУХИ, ШИНЫ, АНТИСЕПТИКИ, БАД и товаром по штрихкодам",14125
